UniProt	GeneSymbol	ChEMBL	PrefName	TaxID	Organism
O43451	MGAM	CHEMBL2074	Maltase-glucoamylase	9606	Homo sapiens
O60706	ABCC9	CHEMBL1971	Sulfonylurea receptor 2	9606	Homo sapiens
O76074	PDE5A	CHEMBL1827	Phosphodiesterase 5A	9606	Homo sapiens
O95180	CACNA1H	CHEMBL1859	Voltage-gated T-type calcium channel alpha-1H subunit	9606	Homo sapiens
P00374	DHFR	CHEMBL202	Dihydrofolate reductase	9606	Homo sapiens
P0ABQ4	folA	CHEMBL1809	Dihydrofolate reductase	83333	Escherichia coli K-12
P00519	ABL1	CHEMBL1862	Tyrosine-protein kinase ABL	9606	Homo sapiens
P00533	EGFR	CHEMBL203	Epidermal growth factor receptor erbB1	9606	Homo sapiens
P0A8V2	rpoB	CHEMBL1852	DNA-directed RNA polymerase beta chain	83333	Escherichia coli K-12
P00734	F2	CHEMBL204	Thrombin	9606	Homo sapiens
P00747	PLG	CHEMBL1801	Plasminogen	9606	Homo sapiens
P62593	bla	CHEMBL2065	Beta-lactamase TEM	562	Escherichia coli
P62593	blaT-3	CHEMBL2065	Beta-lactamase TEM	562	Escherichia coli
P62593	blaT-4	CHEMBL2065	Beta-lactamase TEM	562	Escherichia coli
P62593	blaT-5	CHEMBL2065	Beta-lactamase TEM	562	Escherichia coli
P62593	blaT-6	CHEMBL2065	Beta-lactamase TEM	562	Escherichia coli
P00813	ADA	CHEMBL1910	Adenosine deaminase	9606	Homo sapiens
P00918	CA2	CHEMBL205	Carbonic anhydrase II	9606	Homo sapiens
P01008	SERPINC1	CHEMBL1950	Antithrombin-III	9606	Homo sapiens
P02918	mrcA	CHEMBL1813	Penicillin-binding protein 1A	83333	Escherichia coli K-12
P03372	ESR1	CHEMBL206	Estrogen receptor alpha	9606	Homo sapiens
P03468	NA	CHEMBL2051	Neuraminidase	211044	Influenza A virus (A/Puerto Rico/8/1934(H1N1))
P0DOF8	M	CHEMBL2052	Influenza virus A matrix protein M2	381517	Influenza A virus (A/Udorn/307/1972(H3N2))
