Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
Q9NRG9	reviewed	Aladin (Adracalin)	AAAS ADRACALA GL003	AAAS	ADRACALA	Homo sapiens (Human)	9606	546
Q6PD74	reviewed	Alpha- and gamma-adaptin-binding protein p34	AAGAB	AAGAB		Homo sapiens (Human)	9606	315
P49588	reviewed	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS	AARS		Homo sapiens (Human)	9606	968
Q5JTZ9	reviewed	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	AARS2 AARSL KIAA1270	AARS2	AARSL KIAA1270	Homo sapiens (Human)	9606	985
Q9UDR5	reviewed	Alpha-aminoadipic semialdehyde synthase, mitochondrial (LKR/SDH) [Includes: Lysine ketoglutarate reductase (LKR) (LOR) (EC 1.5.1.8); Saccharopine dehydrogenase (SDH) (EC 1.5.1.9)]	AASS	AASS		Homo sapiens (Human)	9606	926
P80404	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	ABAT	GABAT	Homo sapiens (Human)	9606	500
O95477	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	ABCA1	ABC1 CERP	Homo sapiens (Human)	9606	2261
Q86UK0	reviewed	ATP-binding cassette sub-family A member 12 (ATP-binding cassette transporter 12) (ATP-binding cassette 12)	ABCA12 ABC12	ABCA12	ABC12	Homo sapiens (Human)	9606	2595
Q99758	reviewed	ATP-binding cassette sub-family A member 3 (ABC-C transporter) (ATP-binding cassette transporter 3) (ATP-binding cassette 3)	ABCA3 ABC3	ABCA3	ABC3	Homo sapiens (Human)	9606	1704
P78363	reviewed	Retinal-specific ATP-binding cassette transporter (ATP-binding cassette sub-family A member 4) (RIM ABC transporter) (RIM protein) (RmP) (Stargardt disease protein)	ABCA4 ABCR	ABCA4	ABCR	Homo sapiens (Human)	9606	2273
