Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
P52655	reviewed	Transcription initiation factor IIA subunit 1 (General transcription factor IIA subunit 1) (TFIIAL) (Transcription initiation factor TFIIA 42 kDa subunit) (TFIIA-42) [Cleaved into: Transcription initiation factor IIA alpha chain (TFIIA p35 subunit); Transcription initiation factor IIA beta chain (TFIIA p19 subunit)]	GTF2A1 TF2A1	GTF2A1	TF2A1	Homo sapiens (Human)	9606	376
P15923	reviewed	Transcription factor E2-alpha (Class B basic helix-loop-helix protein 21) (bHLHb21) (Immunoglobulin enhancer-binding factor E12/E47) (Immunoglobulin transcription factor 1) (Kappa-E2-binding factor) (Transcription factor 3) (TCF-3) (Transcription factor ITF-1)	TCF3 BHLHB21 E2A ITF1	TCF3	BHLHB21 E2A ITF1	Homo sapiens (Human)	9606	654
P35269	reviewed	General transcription factor IIF subunit 1 (General transcription factor IIF 74 kDa subunit) (Transcription initiation factor IIF subunit alpha) (TFIIF-alpha) (Transcription initiation factor RAP74)	GTF2F1 RAP74	GTF2F1	RAP74	Homo sapiens (Human)	9606	517
P18850	reviewed	Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha]	ATF6	ATF6		Homo sapiens (Human)	9606	670
Q9Y2D1	reviewed	Cyclic AMP-dependent transcription factor ATF-5 (cAMP-dependent transcription factor ATF-5) (Activating transcription factor 5) (Transcription factor ATFx)	ATF5 ATFX	ATF5	ATFX	Homo sapiens (Human)	9606	282
Q13888	reviewed	General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit)	GTF2H2 BTF2P44	GTF2H2	BTF2P44	Homo sapiens (Human)	9606	395
Q13889	reviewed	General transcription factor IIH subunit 3 (Basic transcription factor 2 34 kDa subunit) (BTF2 p34) (General transcription factor IIH polypeptide 3) (TFIIH basal transcription factor complex p34 subunit)	GTF2H3	GTF2H3		Homo sapiens (Human)	9606	308
Q92759	reviewed	General transcription factor IIH subunit 4 (Basic transcription factor 2 52 kDa subunit) (BTF2 p52) (General transcription factor IIH polypeptide 4) (TFIIH basal transcription factor complex p52 subunit)	GTF2H4	GTF2H4		Homo sapiens (Human)	9606	462
P13984	reviewed	General transcription factor IIF subunit 2 (EC 3.6.4.12) (ATP-dependent helicase GTF2F2) (General transcription factor IIF 30 kDa subunit) (Transcription initiation factor IIF subunit beta) (TFIIF-beta) (Transcription initiation factor RAP30)	GTF2F2 RAP30	GTF2F2	RAP30	Homo sapiens (Human)	9606	249
P32780	reviewed	General transcription factor IIH subunit 1 (Basic transcription factor 2 62 kDa subunit) (BTF2 p62) (General transcription factor IIH polypeptide 1) (TFIIH basal transcription factor complex p62 subunit)	GTF2H1 BTF2	GTF2H1	BTF2	Homo sapiens (Human)	9606	548
Q00059	reviewed	Transcription factor A, mitochondrial (mtTFA) (Mitochondrial transcription factor 1) (MtTF1) (Transcription factor 6) (TCF-6) (Transcription factor 6-like 2)	TFAM TCF6 TCF6L2	TFAM	TCF6 TCF6L2	Homo sapiens (Human)	9606	246
Q99941	reviewed	Cyclic AMP-dependent transcription factor ATF-6 beta (cAMP-dependent transcription factor ATF-6 beta) (Activating transcription factor 6 beta) (ATF6-beta) (Protein G13) (cAMP response element-binding protein-related protein) (Creb-rp) (cAMP-responsive element-binding protein-like 1) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 beta]	ATF6B CREBL1 G13	ATF6B	CREBL1 G13	Homo sapiens (Human)	9606	703
P17544	reviewed	Cyclic AMP-dependent transcription factor ATF-7 (cAMP-dependent transcription factor ATF-7) (Activating transcription factor 7) (Transcription factor ATF-A)	ATF7 ATFA	ATF7	ATFA	Homo sapiens (Human)	9606	494
Q9UKI9	reviewed	POU domain, class 2, transcription factor 3 (Octamer-binding protein 11) (Oct-11) (Octamer-binding transcription factor 11) (OTF-11) (Transcription factor PLA-1) (Transcription factor Skn-1)	POU2F3 OTF11 PLA1	POU2F3	OTF11 PLA1	Homo sapiens (Human)	9606	436
Q7RTS3	reviewed	Pancreas transcription factor 1 subunit alpha (Class A basic helix-loop-helix protein 29) (bHLHa29) (Pancreas-specific transcription factor 1a) (bHLH transcription factor p48) (p48 DNA-binding subunit of transcription factor PTF1) (PTF1-p48)	PTF1A BHLHA29 PTF1P48	PTF1A	BHLHA29 PTF1P48	Homo sapiens (Human)	9606	328
Q9NQB0	reviewed	Transcription factor 7-like 2 (HMG box transcription factor 4) (T-cell-specific transcription factor 4) (T-cell factor 4) (TCF-4) (hTCF-4)	TCF7L2 TCF4	TCF7L2	TCF4	Homo sapiens (Human)	9606	619
Q14494	reviewed	Endoplasmic reticulum membrane sensor NFE2L1 (Locus control region-factor 1) (LCR-F1) (Nuclear factor erythroid 2-related factor 1) (NF-E2-related factor 1) (NFE2-related factor 1) (Nuclear factor, erythroid derived 2, like 1) (Protein NRF1, p120 form) (Transcription factor 11) (TCF-11) [Cleaved into: Transcription factor NRF1 (Protein NRF1, p110 form)]	NFE2L1 HBZ17 NRF1 TCF11	NFE2L1	HBZ17 NRF1 TCF11	Homo sapiens (Human)	9606	772
O00268	reviewed	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	TAF4 TAF2C TAF2C1 TAF4A TAFII130 TAFII135	TAF4	TAF2C TAF2C1 TAF4A TAFII130 TAFII135	Homo sapiens (Human)	9606	1085
Q16594	reviewed	Transcription initiation factor TFIID subunit 9 (RNA polymerase II TBP-associated factor subunit G) (STAF31/32) (Transcription initiation factor TFIID 31 kDa subunit) (TAFII-31) (TAFII31) (Transcription initiation factor TFIID 32 kDa subunit) (TAFII-32) (TAFII32)	TAF9 TAF2G TAFII31	TAF9	TAF2G TAFII31	Homo sapiens (Human)	9606	264
P49848	reviewed	Transcription initiation factor TFIID subunit 6 (RNA polymerase II TBP-associated factor subunit E) (Transcription initiation factor TFIID 70 kDa subunit) (TAF(II)70) (TAFII-70) (TAFII70) (Transcription initiation factor TFIID 80 kDa subunit) (TAF(II)80) (TAFII-80) (TAFII80)	TAF6 TAF2E TAFII70	TAF6	TAF2E TAFII70	Homo sapiens (Human)	9606	677
P18848	reviewed	Cyclic AMP-dependent transcription factor ATF-4 (cAMP-dependent transcription factor ATF-4) (Activating transcription factor 4) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (DNA-binding protein TAXREB67) (Tax-responsive enhancer element-binding protein 67) (TaxREB67)	ATF4 CREB2 TXREB	ATF4	CREB2 TXREB	Homo sapiens (Human)	9606	351
P19447	reviewed	General transcription and DNA repair factor IIH helicase subunit XPB (TFIIH subunit XPB) (EC 3.6.4.12) (Basic transcription factor 2 89 kDa subunit) (BTF2 p89) (DNA excision repair protein ERCC-3) (DNA repair protein complementing XP-B cells) (TFIIH basal transcription factor complex 89 kDa subunit) (TFIIH 89 kDa subunit) (TFIIH p89) (Xeroderma pigmentosum group B-complementing protein)	ERCC3 XPB XPBC	ERCC3	XPB XPBC	Homo sapiens (Human)	9606	782
P15336	reviewed	Cyclic AMP-dependent transcription factor ATF-2 (cAMP-dependent transcription factor ATF-2) (EC 2.3.1.48) (Activating transcription factor 2) (Cyclic AMP-responsive element-binding protein 2) (CREB-2) (cAMP-responsive element-binding protein 2) (HB16) (Histone acetyltransferase ATF2) (cAMP response element-binding protein CRE-BP1)	ATF2 CREB2 CREBP1	ATF2	CREB2 CREBP1	Homo sapiens (Human)	9606	505
Q9NS37	reviewed	CREB/ATF bZIP transcription factor (Host cell factor-binding transcription factor Zhangfei) (HCF-binding transcription factor Zhangfei)	CREBZF ZF	CREBZF	ZF	Homo sapiens (Human)	9606	354
Q66K89	reviewed	Transcription factor E4F1 (EC 2.3.2.27) (E4F transcription factor 1) (Putative E3 ubiquitin-protein ligase E4F1) (RING-type E3 ubiquitin transferase E4F1) (Transcription factor E4F) (p120E4F) (p50E4F)	E4F1 E4F	E4F1	E4F	Homo sapiens (Human)	9606	784
