Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
P80404	reviewed	4-aminobutyrate aminotransferase, mitochondrial (EC 2.6.1.19) ((S)-3-amino-2-methylpropionate transaminase) (EC 2.6.1.22) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (GABA-T) (L-AIBAT)	ABAT GABAT	ABAT	GABAT	Homo sapiens (Human)	9606	500
O95477	reviewed	ATP-binding cassette sub-family A member 1 (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	ABCA1	ABC1 CERP	Homo sapiens (Human)	9606	2261
P33527	reviewed	Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	ABCC1	MRP MRP1	Homo sapiens (Human)	9606	1531
Q92887	reviewed	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	ABCC2	CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	9606	1545
Q09428	reviewed	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ABCC8 HRINS SUR SUR1	ABCC8	HRINS SUR SUR1	Homo sapiens (Human)	9606	1581
P00519	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	ABL1	ABL JTK7	Homo sapiens (Human)	9606	1130
P09110	reviewed	3-ketoacyl-CoA thiolase, peroxisomal (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase) (Peroxisomal 3-oxoacyl-CoA thiolase)	ACAA1 ACAA PTHIO	ACAA1	ACAA PTHIO	Homo sapiens (Human)	9606	424
P12821	reviewed	Angiotensin-converting enzyme (ACE) (EC 3.2.1.-) (EC 3.4.15.1) (Dipeptidyl carboxypeptidase I) (Kininase II) (CD antigen CD143) [Cleaved into: Angiotensin-converting enzyme, soluble form]	ACE DCP DCP1	ACE	DCP DCP1	Homo sapiens (Human)	9606	1306
Q9BYF1	reviewed	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (ACE-related carboxypeptidase) (Angiotensin-converting enzyme homolog) (ACEH) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	ACE2		Homo sapiens (Human)	9606	805
P22303	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	ACHE		Homo sapiens (Human)	9606	614
