Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
P01023	reviewed	Alpha-2-macroglobulin (Alpha-2-M) (C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5)	A2M CPAMD5 FWP007	A2M	CPAMD5	Homo sapiens (Human)	9606	1474
Q5JTZ9	reviewed	Alanine--tRNA ligase, mitochondrial (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS)	AARS2 AARSL KIAA1270	AARS2	AARSL KIAA1270	Homo sapiens (Human)	9606	985
P08183	reviewed	Multidrug resistance protein 1 (EC 7.6.2.2) (ATP-binding cassette sub-family B member 1) (P-glycoprotein 1) (CD antigen CD243)	ABCB1 MDR1 PGY1	ABCB1	MDR1 PGY1	Homo sapiens (Human)	9606	1280
P33527	reviewed	Multidrug resistance-associated protein 1 (ATP-binding cassette sub-family C member 1) (Leukotriene C(4) transporter) (LTC4 transporter)	ABCC1 MRP MRP1	ABCC1	MRP MRP1	Homo sapiens (Human)	9606	1531
Q92887	reviewed	Canalicular multispecific organic anion transporter 1 (ATP-binding cassette sub-family C member 2) (Canalicular multidrug resistance protein) (Multidrug resistance-associated protein 2)	ABCC2 CMOAT CMOAT1 CMRP MRP2	ABCC2	CMOAT CMOAT1 CMRP MRP2	Homo sapiens (Human)	9606	1545
O15438	reviewed	Canalicular multispecific organic anion transporter 2 (ATP-binding cassette sub-family C member 3) (Multi-specific organic anion transporter D) (MOAT-D) (Multidrug resistance-associated protein 3)	ABCC3 CMOAT2 MLP2 MRP3	ABCC3	CMOAT2 MLP2 MRP3	Homo sapiens (Human)	9606	1527
O15440	reviewed	Multidrug resistance-associated protein 5 (ATP-binding cassette sub-family C member 5) (Multi-specific organic anion transporter C) (MOAT-C) (SMRP) (pABC11)	ABCC5 MRP5	ABCC5	MRP5	Homo sapiens (Human)	9606	1437
O95255	reviewed	Multidrug resistance-associated protein 6 (ATP-binding cassette sub-family C member 6) (Anthracycline resistance-associated protein) (Multi-specific organic anion transporter E) (MOAT-E)	ABCC6 ARA MRP6	ABCC6	ARA MRP6	Homo sapiens (Human)	9606	1503
Q9UNQ0	reviewed	ATP-binding cassette sub-family G member 2 (Breast cancer resistance protein) (CDw338) (Mitoxantrone resistance-associated protein) (Placenta-specific ATP-binding cassette transporter) (Urate exporter) (CD antigen CD338)	ABCG2 ABCP BCRP BCRP1 MXR	ABCG2	ABCP BCRP BCRP1 MXR	Homo sapiens (Human)	9606	655
Q8IZP0	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	ABI1 SSH3BP1	ABI1	SSH3BP1	Homo sapiens (Human)	9606	508
P00519	reviewed	Tyrosine-protein kinase ABL1 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 1) (Abelson tyrosine-protein kinase 1) (Proto-oncogene c-Abl) (p150)	ABL1 ABL JTK7	ABL1	ABL JTK7	Homo sapiens (Human)	9606	1130
P42684	reviewed	Tyrosine-protein kinase ABL2 (EC 2.7.10.2) (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)	ABL2 ABLL ARG	ABL2	ABLL ARG	Homo sapiens (Human)	9606	1182
Q15027	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 1 (Centaurin-beta-1) (Cnt-b1)	ACAP1 CENTB1 KIAA0050	ACAP1	CENTB1 KIAA0050	Homo sapiens (Human)	9606	740
P25106	reviewed	Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7) (CXC-R7) (CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog) (RDC-1)	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	ACKR3	CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	9606	362
P53396	reviewed	ATP-citrate synthase (EC 2.3.3.8) (ATP-citrate (pro-S-)-lyase) (ACL) (Citrate cleavage enzyme)	ACLY	ACLY		Homo sapiens (Human)	9606	1101
P21399	reviewed	Cytoplasmic aconitate hydratase (Aconitase) (EC 4.2.1.3) (Citrate hydro-lyase) (Ferritin repressor protein) (Iron regulatory protein 1) (IRP1) (Iron-responsive element-binding protein 1) (IRE-BP 1)	ACO1 IREB1	ACO1	IREB1	Homo sapiens (Human)	9606	889
P15309	reviewed	Prostatic acid phosphatase (PAP) (EC 3.1.3.2) (5'-nucleotidase) (5'-NT) (EC 3.1.3.5) (Ecto-5'-nucleotidase) (Thiamine monophosphatase) (TMPase) [Cleaved into: PAPf39]	ACPP	ACPP		Homo sapiens (Human)	9606	386
O95573	reviewed	Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 3) (LACS 3)	ACSL3 ACS3 FACL3 LACS3	ACSL3	ACS3 FACL3 LACS3	Homo sapiens (Human)	9606	720
Q9UKU0	reviewed	Long-chain-fatty-acid--CoA ligase 6 (EC 6.2.1.3) (Long-chain acyl-CoA synthetase 6) (LACS 6)	ACSL6 ACS2 FACL6 KIAA0837 LACS5	ACSL6	ACS2 FACL6 KIAA0837 LACS5	Homo sapiens (Human)	9606	697
Q04771	reviewed	Activin receptor type-1 (EC 2.7.11.30) (Activin receptor type I) (ACTR-I) (Activin receptor-like kinase 2) (ALK-2) (Serine/threonine-protein kinase receptor R1) (SKR1) (TGF-B superfamily receptor type I) (TSR-I)	ACVR1 ACVRLK2	ACVR1	ACVRLK2	Homo sapiens (Human)	9606	509
P36896	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	ACVR1B ACVRLK4 ALK4	ACVR1B	ACVRLK4 ALK4	Homo sapiens (Human)	9606	505
P27037	reviewed	Activin receptor type-2A (EC 2.7.11.30) (Activin receptor type IIA) (ACTR-IIA) (ACTRIIA)	ACVR2A ACVR2	ACVR2A	ACVR2	Homo sapiens (Human)	9606	513
Q13705	reviewed	Activin receptor type-2B (EC 2.7.11.30) (Activin receptor type IIB) (ACTR-IIB)	ACVR2B	ACVR2B		Homo sapiens (Human)	9606	512
O14672	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	ADAM10	KUZ MADM	Homo sapiens (Human)	9606	748
Q13443	reviewed	Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase)	ADAM9 KIAA0021 MCMP MDC9 MLTNG	ADAM9	KIAA0021 MCMP MDC9 MLTNG	Homo sapiens (Human)	9606	819
Q9UHI8	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 1 (ADAM-TS 1) (ADAM-TS1) (ADAMTS-1) (EC 3.4.24.-) (METH-1)	ADAMTS1 KIAA1346 METH1	ADAMTS1	KIAA1346 METH1	Homo sapiens (Human)	9606	967
Q8WXS8	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 14 (ADAM-TS 14) (ADAM-TS14) (ADAMTS-14) (EC 3.4.24.-)	ADAMTS14	ADAMTS14		Homo sapiens (Human)	9606	1223
Q8TE60	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 18 (ADAM-TS 18) (ADAM-TS18) (ADAMTS-18) (EC 3.4.24.-)	ADAMTS18 ADAMTS21	ADAMTS18	ADAMTS21	Homo sapiens (Human)	9606	1221
P59510	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 20 (ADAM-TS 20) (ADAM-TS20) (ADAMTS-20) (EC 3.4.24.-)	ADAMTS20	ADAMTS20		Homo sapiens (Human)	9606	1910
O15072	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	ADAMTS3	KIAA0366	Homo sapiens (Human)	9606	1205
O75173	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAM-TS 4) (ADAM-TS4) (ADAMTS-4) (EC 3.4.24.82) (ADMP-1) (Aggrecanase-1)	ADAMTS4 KIAA0688 UNQ769/PRO1563	ADAMTS4	KIAA0688	Homo sapiens (Human)	9606	837
Q9UNA0	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 5 (ADAM-TS 5) (ADAM-TS5) (ADAMTS-5) (EC 3.4.24.-) (A disintegrin and metalloproteinase with thrombospondin motifs 11) (ADAM-TS 11) (ADAMTS-11) (ADMP-2) (Aggrecanase-2)	ADAMTS5 ADAMTS11 ADMP2	ADAMTS5	ADAMTS11 ADMP2	Homo sapiens (Human)	9606	930
Q9UKP5	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 6 (ADAM-TS 6) (ADAM-TS6) (ADAMTS-6) (EC 3.4.24.-)	ADAMTS6	ADAMTS6		Homo sapiens (Human)	9606	1117
Q9UP79	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2) (METH-8)	ADAMTS8 METH2	ADAMTS8	METH2	Homo sapiens (Human)	9606	889
Q9P2N4	reviewed	A disintegrin and metalloproteinase with thrombospondin motifs 9 (ADAM-TS 9) (ADAM-TS9) (ADAMTS-9) (EC 3.4.24.-)	ADAMTS9 KIAA1312	ADAMTS9	KIAA1312	Homo sapiens (Human)	9606	1935
Q08828	reviewed	Adenylate cyclase type 1 (EC 4.6.1.1) (ATP pyrophosphate-lyase 1) (Adenylate cyclase type I) (Adenylyl cyclase 1) (Ca(2+)/calmodulin-activated adenylyl cyclase)	ADCY1	ADCY1		Homo sapiens (Human)	9606	1119
O14514	reviewed	Adhesion G protein-coupled receptor B1 (Brain-specific angiogenesis inhibitor 1) [Cleaved into: Vasculostatin-40 (Vstat40); Vasculostatin-120 (Vstat120)]	ADGRB1 BAI1	ADGRB1	BAI1	Homo sapiens (Human)	9606	1584
P35318	reviewed	ADM [Cleaved into: Adrenomedullin (AM); Proadrenomedullin N-20 terminal peptide (ProAM N-terminal 20 peptide) (PAMP) (ProAM-N20)]	ADM AM	ADM	AM	Homo sapiens (Human)	9606	185
Q9H2P0	reviewed	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	ADNP ADNP1 KIAA0784	ADNP	ADNP1 KIAA0784	Homo sapiens (Human)	9606	1102
P29274	reviewed	Adenosine receptor A2a	ADORA2A ADORA2	ADORA2A	ADORA2	Homo sapiens (Human)	9606	412
P35368	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	ADRA1B		Homo sapiens (Human)	9606	520
P55196	reviewed	Afadin (ALL1-fused gene from chromosome 6 protein) (Protein AF-6) (Afadin adherens junction formation factor)	AFDN AF6 MLLT4	AFDN	AF6 MLLT4	Homo sapiens (Human)	9606	1824
P51825	reviewed	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	AFF1	AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	9606	1210
P51826	reviewed	AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4) (Protein LAF-4)	AFF3 LAF4	AFF3	LAF4	Homo sapiens (Human)	9606	1226
Q9UHB7	reviewed	AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein) (Protein AF-5q31) (Major CDK9 elongation factor-associated protein)	AFF4 AF5Q31 MCEF HSPC092	AFF4	AF5Q31 MCEF	Homo sapiens (Human)	9606	1163
P02771	reviewed	Alpha-fetoprotein (Alpha-1-fetoprotein) (Alpha-fetoglobulin)	AFP HPAFP	AFP	HPAFP	Homo sapiens (Human)	9606	609
Q15109	reviewed	Advanced glycosylation end product-specific receptor (Receptor for advanced glycosylation end products)	AGER RAGE	AGER	RAGE	Homo sapiens (Human)	9606	404
Q8IVF2	reviewed	Protein AHNAK2	AHNAK2 C14orf78 KIAA2019	AHNAK2	C14orf78 KIAA2019	Homo sapiens (Human)	9606	5795
