Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
P35414	reviewed	Apelin receptor (Angiotensin receptor-like 1) (G-protein coupled receptor APJ) (G-protein coupled receptor HG11)	APLNR AGTRL1 APJ	APLNR	AGTRL1 APJ	Homo sapiens (Human)	9606	380
P07550	reviewed	Beta-2 adrenergic receptor (Beta-2 adrenoreceptor) (Beta-2 adrenoceptor)	ADRB2 ADRB2R B2AR	ADRB2	ADRB2R B2AR	Homo sapiens (Human)	9606	413
O60241	reviewed	Adhesion G protein-coupled receptor B2 (Brain-specific angiogenesis inhibitor 2)	ADGRB2 BAI2	ADGRB2	BAI2	Homo sapiens (Human)	9606	1585
Q86SQ3	reviewed	Putative adhesion G protein-coupled receptor E4P (EGF-like module receptor 4) (EGF-like module-containing mucin-like hormone receptor-like 4) (G-protein coupled receptor 127) (G-protein coupled receptor PGR16)	ADGRE4P EMR4 EMR4P GPR127 PGR16	ADGRE4P	EMR4 EMR4P GPR127 PGR16	Homo sapiens (Human)	9606	457
Q8IZF3	reviewed	Adhesion G protein-coupled receptor F4 (G-protein coupled receptor 115) (G-protein coupled receptor PGR18)	ADGRF4 GPR115 PGR18	ADGRF4	GPR115 PGR18	Homo sapiens (Human)	9606	695
Q86SQ4	reviewed	Adhesion G-protein coupled receptor G6 (Developmentally regulated G-protein-coupled receptor) (G-protein coupled receptor 126) (Vascular inducible G protein-coupled receptor) [Cleaved into: ADGRG6 N-terminal fragment (ADGRG6-NTF); ADGRG6 C-terminal fragment (ADGRG6-CTF)]	ADGRG6 DREG GPR126 VIGR	ADGRG6	DREG GPR126 VIGR	Homo sapiens (Human)	9606	1221
Q8IZF5	reviewed	Adhesion G-protein coupled receptor F3 (G-protein coupled receptor 113) (G-protein coupled receptor PGR23)	ADGRF3 GPR113 PGR23 UNQ9196/PRO34000	ADGRF3	GPR113 PGR23	Homo sapiens (Human)	9606	1079
P35368	reviewed	Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor)	ADRA1B	ADRA1B		Homo sapiens (Human)	9606	520
Q9Y653	reviewed	Adhesion G-protein coupled receptor G1 (G-protein coupled receptor 56) (Protein TM7XN1) [Cleaved into: ADGRG1 N-terminal fragment (ADGRG1 NT) (GPR56 N-terminal fragment) (GPR56 NT) (GPR56(N)) (GPR56 extracellular subunit) (GPR56 subunit alpha); ADGRG1 C-terminal fragment (ADGRG1 CT) (GPR56 C-terminal fragment) (GPR56 CT) (GPR56(C)) (GPR56 seven-transmembrane subunit) (GPR56 7TM) (GPR56 subunit beta)]	ADGRG1 GPR56 TM7LN4 TM7XN1 UNQ540/PRO1083	ADGRG1	GPR56 TM7LN4 TM7XN1	Homo sapiens (Human)	9606	693
Q14246	reviewed	Adhesion G protein-coupled receptor E1 (EGF-like module receptor 1) (EGF-like module-containing mucin-like hormone receptor-like 1) (EMR1 hormone receptor)	ADGRE1 EMR1 TM7LN3	ADGRE1	EMR1 TM7LN3	Homo sapiens (Human)	9606	886
Q9UHX3	reviewed	Adhesion G protein-coupled receptor E2 (EGF-like module receptor 2) (EGF-like module-containing mucin-like hormone receptor-like 2) (CD antigen CD312)	ADGRE2 EMR2	ADGRE2	EMR2	Homo sapiens (Human)	9606	823
P08588	reviewed	Beta-1 adrenergic receptor (Beta-1 adrenoreceptor) (Beta-1 adrenoceptor)	ADRB1 ADRB1R B1AR	ADRB1	ADRB1R B1AR	Homo sapiens (Human)	9606	477
Q6QNK2	reviewed	Adhesion G-protein coupled receptor D1 (G-protein coupled receptor 133) (G-protein coupled receptor PGR25)	ADGRD1 GPR133 PGR25	ADGRD1	GPR133 PGR25	Homo sapiens (Human)	9606	874
Q8IZF7	reviewed	Adhesion G-protein coupled receptor F2 (G-protein coupled receptor 111) (G-protein coupled receptor PGR20)	ADGRF2 GPR111 PGR20	ADGRF2	GPR111 PGR20	Homo sapiens (Human)	9606	708
Q96K78	reviewed	Adhesion G-protein coupled receptor G7 (G-protein coupled receptor 128)	ADGRG7 GPR128	ADGRG7	GPR128	Homo sapiens (Human)	9606	797
Q9HAR2	reviewed	Adhesion G protein-coupled receptor L3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Latrophilin-3) (Lectomedin-3)	ADGRL3 KIAA0768 LEC3 LPHN3	ADGRL3	KIAA0768 LEC3 LPHN3	Homo sapiens (Human)	9606	1447
Q8IZP9	reviewed	Adhesion G-protein coupled receptor G2 (G-protein coupled receptor 64) (Human epididymis-specific protein 6) (He6)	ADGRG2 GPR64 HE6 TM7LN2	ADGRG2	GPR64 HE6 TM7LN2	Homo sapiens (Human)	9606	1017
