Entry	Status	Protein names	Gene names	Gene names  (primary )	Gene names  (synonym )	Organism	Organism ID	Length
P22736	reviewed	Nuclear receptor subfamily 4 group A member 1 (Early response protein NAK1) (Nuclear hormone receptor NUR/77) (Nur77) (Orphan nuclear receptor HMR) (Orphan nuclear receptor TR3) (ST-59) (Testicular receptor 3)	NR4A1 GFRP1 HMR NAK1	NR4A1	GFRP1 HMR NAK1	Homo sapiens (Human)	9606	598
O75469	reviewed	Nuclear receptor subfamily 1 group I member 2 (Orphan nuclear receptor PAR1) (Orphan nuclear receptor PXR) (Pregnane X receptor) (Steroid and xenobiotic receptor) (SXR)	NR1I2 PXR	NR1I2	PXR	Homo sapiens (Human)	9606	434
P35398	reviewed	Nuclear receptor ROR-alpha (Nuclear receptor RZR-alpha) (Nuclear receptor subfamily 1 group F member 1) (RAR-related orphan receptor A) (Retinoid-related orphan receptor-alpha)	RORA NR1F1 RZRA	RORA	NR1F1 RZRA	Homo sapiens (Human)	9606	523
Q14686	reviewed	Nuclear receptor coactivator 6 (Activating signal cointegrator 2) (ASC-2) (Amplified in breast cancer protein 3) (Cancer-amplified transcriptional coactivator ASC-2) (Nuclear receptor coactivator RAP250) (NRC RAP250) (Nuclear receptor-activating protein, 250 kDa) (Peroxisome proliferator-activated receptor-interacting protein) (PPAR-interacting protein) (PRIP) (Thyroid hormone receptor-binding protein)	NCOA6 AIB3 KIAA0181 RAP250 TRBP	NCOA6	AIB3 KIAA0181 RAP250 TRBP	Homo sapiens (Human)	9606	2063
P55055	reviewed	Oxysterols receptor LXR-beta (Liver X receptor beta) (Nuclear receptor NER) (Nuclear receptor subfamily 1 group H member 2) (Ubiquitously-expressed nuclear receptor)	NR1H2 LXRB NER UNR	NR1H2	LXRB NER UNR	Homo sapiens (Human)	9606	460
P51449	reviewed	Nuclear receptor ROR-gamma (Nuclear receptor RZR-gamma) (Nuclear receptor subfamily 1 group F member 3) (RAR-related orphan receptor C) (Retinoid-related orphan receptor-gamma)	RORC NR1F3 RORG RZRG	RORC	NR1F3 RORG RZRG	Homo sapiens (Human)	9606	518
P49116	reviewed	Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4)	NR2C2 TAK1 TR4	NR2C2	TAK1 TR4	Homo sapiens (Human)	9606	596
Q92570	reviewed	Nuclear receptor subfamily 4 group A member 3 (Mitogen-induced nuclear orphan receptor) (Neuron-derived orphan receptor 1) (Nuclear hormone receptor NOR-1)	NR4A3 CHN CSMF MINOR NOR1 TEC	NR4A3	CHN CSMF MINOR NOR1 TEC	Homo sapiens (Human)	9606	626
Q92753	reviewed	Nuclear receptor ROR-beta (Nuclear receptor RZR-beta) (Nuclear receptor subfamily 1 group F member 2) (Retinoid-related orphan receptor-beta)	RORB NR1F2 RZRB	RORB	NR1F2 RZRB	Homo sapiens (Human)	9606	470
Q9Y5X4	reviewed	Photoreceptor-specific nuclear receptor (Nuclear receptor subfamily 2 group E member 3) (Retina-specific nuclear receptor)	NR2E3 PNR RNR	NR2E3	PNR RNR	Homo sapiens (Human)	9606	410
P43354	reviewed	Nuclear receptor subfamily 4 group A member 2 (Immediate-early response protein NOT) (Orphan nuclear receptor NURR1) (Transcriptionally-inducible nuclear receptor)	NR4A2 NOT NURR1 TINUR	NR4A2	NOT NURR1 TINUR	Homo sapiens (Human)	9606	598
Q03181	reviewed	Peroxisome proliferator-activated receptor delta (PPAR-delta) (NUCI) (Nuclear hormone receptor 1) (NUC1) (Nuclear receptor subfamily 1 group C member 2) (Peroxisome proliferator-activated receptor beta) (PPAR-beta)	PPARD NR1C2 PPARB	PPARD	NR1C2 PPARB	Homo sapiens (Human)	9606	441
Q14995	reviewed	Nuclear receptor subfamily 1 group D member 2 (Orphan nuclear hormone receptor BD73) (Rev-erb alpha-related receptor) (RVR) (Rev-erb-beta) (V-erbA-related protein 1-related) (EAR-1R)	NR1D2	NR1D2		Homo sapiens (Human)	9606	579
Q14994	reviewed	Nuclear receptor subfamily 1 group I member 3 (Constitutive activator of retinoid response) (Constitutive active response) (Constitutive androstane receptor) (CAR) (Orphan nuclear receptor MB67)	NR1I3 CAR	NR1I3	CAR	Homo sapiens (Human)	9606	352
Q15406	reviewed	Nuclear receptor subfamily 6 group A member 1 (Germ cell nuclear factor) (GCNF) (hGCNF) (Retinoid receptor-related testis-specific receptor) (RTR) (hRTR)	NR6A1 GCNF	NR6A1	GCNF	Homo sapiens (Human)	9606	480
P13056	reviewed	Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2)	NR2C1 TR2	NR2C1	TR2	Homo sapiens (Human)	9606	603
Q8NI08	reviewed	Nuclear receptor coactivator 7 (140 kDa estrogen receptor-associated protein) (Estrogen nuclear receptor coactivator 1)	NCOA7 ERAP140 ESNA1 Nbla00052 Nbla10993	NCOA7	ERAP140 ESNA1	Homo sapiens (Human)	9606	942
P48552	reviewed	Nuclear receptor-interacting protein 1 (Nuclear factor RIP140) (Receptor-interacting protein 140)	NRIP1	NRIP1		Homo sapiens (Human)	9606	1158
Q96RI1	reviewed	Bile acid receptor (Farnesoid X-activated receptor) (Farnesol receptor HRR-1) (Nuclear receptor subfamily 1 group H member 4) (Retinoid X receptor-interacting protein 14) (RXR-interacting protein 14)	NR1H4 BAR FXR HRR1 RIP14	NR1H4	BAR FXR HRR1 RIP14	Homo sapiens (Human)	9606	486
P51843	reviewed	Nuclear receptor subfamily 0 group B member 1 (DSS-AHC critical region on the X chromosome protein 1) (Nuclear receptor DAX-1)	NR0B1 AHC DAX1	NR0B1	AHC DAX1	Homo sapiens (Human)	9606	470
Q15466	reviewed	Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner)	NR0B2 SHP	NR0B2	SHP	Homo sapiens (Human)	9606	257
Q9Y466	reviewed	Nuclear receptor subfamily 2 group E member 1 (Nuclear receptor TLX) (Protein tailless homolog) (Tll) (hTll)	NR2E1 TLX	NR2E1	TLX	Homo sapiens (Human)	9606	385
P27540	reviewed	Aryl hydrocarbon receptor nuclear translocator (ARNT protein) (Class E basic helix-loop-helix protein 2) (bHLHe2) (Dioxin receptor, nuclear translocator) (Hypoxia-inducible factor 1-beta) (HIF-1-beta) (HIF1-beta)	ARNT BHLHE2	ARNT	BHLHE2	Homo sapiens (Human)	9606	789
Q9Y6Q9	reviewed	Nuclear receptor coactivator 3 (NCoA-3) (EC 2.3.1.48) (ACTR) (Amplified in breast cancer 1 protein) (AIB-1) (CBP-interacting protein) (pCIP) (Class E basic helix-loop-helix protein 42) (bHLHe42) (Receptor-associated coactivator 3) (RAC-3) (Steroid receptor coactivator protein 3) (SRC-3) (Thyroid hormone receptor activator molecule 1) (TRAM-1)	NCOA3 AIB1 BHLHE42 RAC3 TRAM1	NCOA3	AIB1 BHLHE42 RAC3 TRAM1	Homo sapiens (Human)	9606	1424
Q9Y618	reviewed	Nuclear receptor corepressor 2 (N-CoR2) (CTG repeat protein 26) (SMAP270) (Silencing mediator of retinoic acid and thyroid hormone receptor) (SMRT) (T3 receptor-associating factor) (TRAC) (Thyroid-, retinoic-acid-receptor-associated corepressor)	NCOR2 CTG26	NCOR2	CTG26	Homo sapiens (Human)	9606	2514
O95718	reviewed	Steroid hormone receptor ERR2 (ERR beta-2) (Estrogen receptor-like 2) (Estrogen-related receptor beta) (ERR-beta) (Nuclear receptor subfamily 3 group B member 2)	ESRRB ERRB2 ESRL2 NR3B2	ESRRB	ERRB2 ESRL2 NR3B2	Homo sapiens (Human)	9606	433
P20393	reviewed	Nuclear receptor subfamily 1 group D member 1 (Rev-erbA-alpha) (V-erbA-related protein 1) (EAR-1)	NR1D1 EAR1 HREV THRAL	NR1D1	EAR1 HREV THRAL	Homo sapiens (Human)	9606	614
P10588	reviewed	Nuclear receptor subfamily 2 group F member 6 (V-erbA-related protein 2) (EAR-2)	NR2F6 EAR2 ERBAL2	NR2F6	EAR2 ERBAL2	Homo sapiens (Human)	9606	404
Q96F24	reviewed	Nuclear receptor-binding factor 2 (NRBF-2) (Comodulator of PPAR and RXR)	NRBF2 COPR	NRBF2	COPR	Homo sapiens (Human)	9606	287
Q02297	reviewed	Pro-neuregulin-1, membrane-bound isoform (Pro-NRG1) [Cleaved into: Neuregulin-1 (Acetylcholine receptor-inducing activity) (ARIA) (Breast cancer cell differentiation factor p45) (Glial growth factor) (Heregulin) (HRG) (Neu differentiation factor) (Sensory and motor neuron-derived factor)]	NRG1 GGF HGL HRGA NDF SMDF	NRG1	GGF HGL HRGA NDF SMDF	Homo sapiens (Human)	9606	640
P56975	reviewed	Pro-neuregulin-3, membrane-bound isoform (Pro-NRG3) [Cleaved into: Neuregulin-3 (NRG-3)]	NRG3	NRG3		Homo sapiens (Human)	9606	720
Q8WWG1	reviewed	Pro-neuregulin-4, membrane-bound isoform (Pro-NRG4) [Cleaved into: Neuregulin-4 (NRG-4)]	NRG4	NRG4		Homo sapiens (Human)	9606	115
Q9BQI9	reviewed	Nuclear receptor-interacting protein 2	NRIP2	NRIP2		Homo sapiens (Human)	9606	281
