#,SID,CID,BioAssay_Source,RankScore,Outcome,Xref,URL,Comment,DepositDate,"Activity Outcome","Activity Score","p450-cyp2c9-Potency_&#956;M","p450-cyp2c9-Curve_Description","p450-cyp2c9-Fit_LogAC50","p450-cyp2c9-Fit_HillSlope","p450-cyp2c9-Fit_R2","p450-cyp2c9-Fit_InfiniteActivity_%","p450-cyp2c9-Fit_ZeroActivity_%","p450-cyp2c9-Fit_CurveClass","p450-cyp2c9-Excluded_Points","p450-cyp2c9-Max_Response","p450-cyp2c9-Activity at 0.0007 uM_%","p450-cyp2c9-Activity at 0.00160 uM_%","p450-cyp2c9-Activity at 0.00368 uM_%","p450-cyp2c9-Activity at 0.00820 uM_%","p450-cyp2c9-Activity at 0.018 uM_%","p450-cyp2c9-Activity at 0.041 uM_%","p450-cyp2c9-Activity at 0.091 uM_%","p450-cyp2c9-Activity at 0.204 uM_%","p450-cyp2c9-Activity at 0.457 uM_%","p450-cyp2c9-Activity at 1.022 uM_%","p450-cyp2c9-Activity at 2.286 uM_%","p450-cyp2c9-Activity at 5.111 uM_%","p450-cyp2c9-Activity at 11.43 uM_%","p450-cyp2c9-Activity at 25.56 uM_%","p450-cyp2c9-Activity at 57.14 uM_%"
1,26751441,10847630,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,9.48,21.7,,-5.012,,26.79,,-3.226,,12.09,,1.55,,9.48,,
2,26751440,16758818,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,19.99,-0.995,,1.121,,5.163,,-14.53,,18.13,,10.75,,19.99,,
3,26751438,16758816,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-5.58,9.468,,-1.224,,3.295,,-0.4498,,15.23,,9.39,,-5.58,,
4,26751437,16758815,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,12.22,3.157,,5.633,,-8.442,,-4.766,,-5.141,,12.56,,12.22,,
5,26751436,16758814,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,17.88,-13.69,,-11.18,,-3.913,,-8.04,,-0.1915,,-3.267,,17.88,,
6,26751435,16758813,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.5199,-8.04,,-11.05,,-0.0185,,-9.945,,-5.276,,-1.224,,0.5199,,
7,26751434,16758812,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.183,23.59,,-1.289,,18.49,,-4.59,,15.75,,-10.35,,3.183,,
8,26751433,16758811,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.913,5.46,,-4.823,,-6.233,,-1.714,,20.34,,10.04,,3.913,,
9,26751432,16758810,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.056,1.688,,-6.544,,-2.841,,5.124,,6.886,,0.4845,,3.056,,
10,26751431,16758809,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.758,-2.377,,-2.008,,-0.2385,,-7.566,,3.262,,-6.057,,2.758,,
11,26751430,16758808,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.74,-2.314,,-5.203,,1.663,,-7.148,,-8.493,,-0.3617,,-4.74,,
12,26751429,16758807,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-24.78,-1.879,,-5.964,,28.14,,-3.388,,-9.76,,-21.3,,-24.78,,
13,26751427,16758805,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,5.053,24.44,,-4.32,,23.04,,-4.382,,1.17,,0.5575,,5.053,,
14,26751426,16758804,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,3.994,10.41,,-4.341,,-4.582,,2.083,,4.023,,-12.05,,3.994,,
15,26751425,16758803,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,7.603,11.66,,-2.265,,9.485,,8.045,,3.674,,-8.854,,7.603,,
16,26751424,16758802,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.365,5.18,,1.821,,-10.36,,-6.786,,-3.047,,-15.75,,-7.365,,
17,26751423,16758801,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-4.727,-11.08,,-10.24,,-9.393,,-13.43,,-4.878,,-10.84,,-4.727,,
18,26751422,16758800,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,0.7795,-5.031,,-4.623,,14.63,,-5.332,,-2.274,,5.567,,0.7795,,
19,26751421,16758799,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-8.99,-29.31,,-15.89,,-4.268,,31.61,,29.53,,-6.08,,-8.99,,
20,26751420,16758799,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-0.4567,14.03,,-19.29,,4.061,,-14.04,,-16.78,,-8.465,,-0.4567,,
21,26751419,16758800,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,17.18,-5.085,,-17.61,,8.509,,-12.65,,-6.312,,10.79,,17.18,,
22,26751418,16758799,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.56,-19.34,,-11.48,,-19.68,,-13.18,,37.22,,-2.969,,14.56,,
23,26751417,16758798,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,2.7,2.857,,-0.7541,,13.78,,-0.3871,,3.617,,17.2,,2.7,,
24,26751416,16758797,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,4.047,4.964,,2.585,,3.531,,-0.5076,,15.45,,-1.221,,4.047,,
25,26751415,16758798,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,6.797,-10.02,,-5.709,,-11.44,,2.467,,-3.725,,-5.222,,6.797,,
26,26751414,16758797,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,14.76,-9.145,,-12.73,,-10.09,,-4.345,,-3.006,,-15.01,,14.76,,
27,26751413,16758796,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-15.73,14.81,,-2.197,,9.484,,-1.747,,4.869,,-20.98,,-15.73,,
28,26751412,16758795,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,13.89,-9.892,,-14.77,,-11.64,,-2.685,,0.9932,,-1.685,,13.89,,
29,26751410,16758795,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,21.72,-7.752,,-13.3,,8.072,,-9.892,,14.79,,21.08,,21.72,,
30,26751409,16758794,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-24.03,0.8201,,2.159,,-6.985,,0.5614,,2.884,,0.7094,,-24.03,,
31,26751408,16758793,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,1.217,1.415,,-5.351,,15.5,,7.126,,8.404,,3.016,,1.217,,
32,26751407,16758794,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-7.968,12.28,,-9.854,,1.249,,-1.301,,9.818,,-20.19,,-7.968,,
33,26751406,16758793,"NCGC",,Unspecified,,,"",2009/07/08,1,0,,,,,,,,4,,-10.27,3.258,,2.739,,-1.803,,-6.757,,7.068,,-6.495,,-10.27,,
