Index	GeneSym	GeneID/GeneID
1	MLNR	2862
2	MRGPRG-AS1	283303
3	TTTY3B	474148
4	ST7-AS2	93654
5	MIR632	693217
6	LINC00467	84791
7	LRP5L	91355
8	GCSAML	148823
9	ZNF621	285268
10	HMGN2P46	283651
11	C14ORF183	196913
12	ZNF487	642819
13	LOC100190940	100190940
14	NCRUPAR	100302746
15	DTHD1	401124
16	C19ORF44	84167
17	LOC115110	115110
18	CATIP	375307
19	C1ORF229	388759
20	LOC283332	283332
21	MIR147B	100126311
22	MIR596	693181
23	TMED7-TICAM2	100302736
24	ZNF470	388566
25	CD1A	909
26	SNORA31	677814
27	ACTR3C	653857
28	C16ORF93	90835
29	AQP12B	653437
30	BSPH1	100131137
31	SYS1-DBNDD2	767557
32	SPIN2B	474343
33	SNORA54	677833
34	POTEG	404785
35	MIR597	693182
36	MIR557	693142
37	MEF2BNB-MEF2B	4207
38	LOC642502	642502
39	LOC399815	399815
40	LOC100270804	100270804
41	LOC100134317	100134317
42	LOC100133331	100133331
43	LINC00115	79854
44	GHRLOS	100126793
45	FGFBP2	83888
46	FAM66D	100132923
47	CST13P	164380
48	C17ORF104	284071
49	LOC646471	646471
50	FAM86B2	653333
51	LOC100134868	100134868
52	C14ORF180	400258
53	CCDC184	387856
54	C21ORF54	728409
55	LOC100133050	100133050
56	C16ORF91	283951
57	ZNF699	374879
58	CD1C	911
59	ADAM6	8755
60	HNRNPA3P1	10151
61	LOC113230	113230
62	PRR20A	122183
63	ASCL3	56676
64	C2orf61	285051
65	C11orf97	643037
66	CXORF38	159013
67	DYRK4	8798
68	LINC00341	79686
69	LINC00526	147525
70	LOC93622	93622
71	LRRC31	79782
72	NKAP	79576
73	GJB7	375519
74	BMS1P4	729096
75	ZSCAN5A	79149
76	LOC148696	148696
77	FLJ10038	55056
78	C17ORF97	400566
79	LOC100130987	100130987
80	LOC374443	374443
81	CD3D	915
82	ACOX2	8309
83	MORN3	283385
84	MMEL1	79258
85	SYN1	6853
86	ADAM1B	100420505
87	BAGE3	85318
88	FAM136BP	387071
89	RPL18AP3	390354
90	FAM162B	221303
91	ZNF705A	440077
92	ACY3	91703
93	NEIL1	79661
94	MAGIX	79917
95	CLDND2	125875
96	MIR17HG	407975
97	ZNF629	23361
98	ADAM8	101
99	FAM150A	389658
100	NME9	347736
101	BTG4	54766
102	C10ORF111	221060
103	CCDC163P	126661
104	FBXL19-AS1	283932
105	C1ORF122	127687
106	FLJ37453	729614
107	LOC100131691	100131691
108	GNRHR2	114814
109	SNHG12	85028
110	C20ORF24	55969
111	GNRH2	2797
112	CES2	8824
113	POLR2L	5441
114	GLB1L	79411
115	CLEC9A	283420
116	CXorf65	158830
117	LCN9	392399
118	ABHD17A	81926
119	FBRS	64319
120	ADAT3	113179
121	6-Mar	10299
122	MDN1	23195
123	CMTR2	55783
124	C2orf68	388969
125	LAMTOR4	389541
126	CCDC30	728621
127	CECR2	27443
128	LMTK3	114783
129	CFAP97	57587
130	MIR148A	406940
131	MIR23A	407010
132	MIR9-1	407046
133	CD19	930
134	PTPRH	5794
135	SLC22A18AS	5003
136	MLKL	197259
137	TATDN3	128387
138	CEP290	80184
139	MSL2	55167
140	CRLF2	64109
141	GAS2L3	283431
142	ANAPC15	25906
143	WDR5B	54554
144	C6ORF89	221477
145	ZNF684	127396
146	RRNAD1	51093
147	SOGA1	140710
148	UBALD1	124402
149	C5ORF51	285636
150	HEXA-AS1	80072
151	LOC100133985	100133985
152	ZNF815P	401303
153	C9ORF156	51531
154	TICAM1	148022
155	CEP44	80817
156	PTRHD1	391356
157	COA6	388753
158	ZNF460	10794
159	SLC35A5	55032
160	MRPS18C	51023
161	RNU6ATAC	100151684
162	RSL24D1	51187
163	EFHC1	114327
164	MTERF1	7978
165	MOCS3	27304
166	MSANTD2	79684
167	TIGD6	81789
168	ZNF221	7638
169	ATAD2B	54454
170	CAB39	51719
171	C3ORF38	285237
172	MTIF3	219402
173	INO80D	54891
174	ULK4	54986
175	MINOS1	440574
176	SRBD1	55133
177	ZNF121	7675
178	AKR7A2	8574
179	DHX34	9704
180	BID	637
181	TMCC1	23023
182	SPICE1	152185
183	SUCNR1	56670
184	CTSG	1511
185	KLHL31	401265
186	HCLS1	3059
187	FBXL4	26235
188	SLC18A1	6570
189	CHST13	166012
190	FAM193A	8603
191	MPP7	143098
192	DNAH6	1768
193	GNAT3	346562
194	MATN2	4147
195	OTULIN	90268
196	TMEM216	51259
197	PTGR2	145482
198	USP37	57695
199	ZSCAN12	9753
200	AHRR	57491
201	AP3S1	1176
202	ZNF579	163033
203	DPP9	91039
204	MEI1	150365
205	NAGPA	51172
206	VPS33A	65082
207	MYCBP2	23077
208	RTDR1	27156
209	TMEM241	85019
210	ARRDC1-AS1	85026
211	NECAB3	63941
212	C8ORF31	286122
213	C18ORF21	83608
214	PROSER3	148137
215	C19ORF35	374872
216	C2ORF44	80304
217	LRRC75A	388341
218	CCDC142	84865
219	TMEM180	79847
220	NMI	9111
221	PON2	5445
222	APBA3	9546
223	MRPL54	116541
224	MRPL30	51263
225	TMEM186	25880
226	PMM2	5373
227	GNPTG	84572
228	TSR3	115939
229	GPKOW	27238
230	TOMM5	401505
231	ZBTB49	166793
232	TTC30B	150737
233	GPIHBP1	338328
234	MKRN3	7681
235	SLC25A38	54977
236	TUG1	55000
237	ZNF791	163049
238	C11ORF58	10944
239	ZNF268	10795
240	ZNF776	284309
241	C1ORF109	54955
242	C12ORF43	64897
243	ZNF233	353355
244	C19ORF52	90580
245	TTC31	64427
246	ZNF573	126231
247	C12ORF29	91298
248	LOC100128164	100128164
249	FAM218A	152756
250	ZNF192P1	651302
251	ULBP3	79465
252	C2ORF69	205327
253	MIR2277	100313887
254	MIR330	442902
255	SNORA32	692063
256	SNORD101	594837
257	ZNF772	400720
258	ZNF671	79891
259	ZNF211	10520
260	ZNF738	148203
261	ZNF879	345462
262	LOC100379224	100379224
263	C6ORF226	441150
264	ZNF562	54811
265	MIA3	375056
266	ZNF461	92283
267	C9ORF114	51490
268	ZNF814	730051
269	ZNF501	115560
270	ZNF497	162968
271	RNF216P1	441191
272	SBDSP1	155370
273	LOC728613	728613
274	MGC72080	389538
275	DBF4B	80174
276	ZNF490	57474
277	ZNF700	90592
278	TMED7	51014
